Gene	Top10_Clones_Tumor	Top10_Clones_Normal
TNFRSF18	TRUE	TRUE
TESPA1	TRUE	TRUE
RHOB	TRUE	FALSE
IFITM10	TRUE	FALSE
CDK2AP2	TRUE	TRUE
PTPN22	TRUE	FALSE
TNIP3	TRUE	FALSE
MYC	TRUE	FALSE
PTPN6	TRUE	TRUE
PDIA6	TRUE	FALSE
UPP1	TRUE	FALSE
PTGER2	TRUE	FALSE
IER2	TRUE	FALSE
CD4	TRUE	FALSE
MALAT1	TRUE	FALSE
SATB1	TRUE	FALSE
PGAM1	TRUE	FALSE
LITAF	TRUE	TRUE
CDKN1A	TRUE	TRUE
CD40LG	TRUE	TRUE
NUCB2	TRUE	FALSE
FTH1	TRUE	FALSE
TNFRSF9	TRUE	FALSE
ANKRD28	TRUE	TRUE
TMEM173	TRUE	TRUE
PRKCQ-AS1	TRUE	FALSE
ICAM2	TRUE	FALSE
CNIH1	TRUE	FALSE
SLAMF1	TRUE	TRUE
IL2RB	TRUE	FALSE
ACP5	TRUE	TRUE
EGR1	TRUE	FALSE
PASK	TRUE	FALSE
ID2	TRUE	TRUE
APOBEC3C	TRUE	FALSE
SLC2A3	TRUE	FALSE
AOAH	TRUE	TRUE
RNASET2	TRUE	TRUE
PLA2G16	TRUE	FALSE
HOPX	TRUE	FALSE
ATF3	TRUE	FALSE
TNFAIP3	TRUE	TRUE
SESN1	TRUE	FALSE
STARD3NL	TRUE	FALSE
HMGN3	TRUE	FALSE
CCL4L1	TRUE	FALSE
DUSP1	TRUE	TRUE
PIM2	TRUE	FALSE
MAGEH1	TRUE	FALSE
TNFRSF25	TRUE	TRUE
LDHB	TRUE	TRUE
KRT86	TRUE	FALSE
NR4A1	TRUE	FALSE
VIM	TRUE	TRUE
ENTPD1	TRUE	TRUE
ZEB2	TRUE	TRUE
LOC102724850	TRUE	FALSE
IDH2	TRUE	FALSE
GPR56	TRUE	TRUE
BTG2	TRUE	TRUE
MAP3K8	TRUE	TRUE
CD97	TRUE	FALSE
TAGLN2	TRUE	FALSE
KLRC4	TRUE	FALSE
RBPJ	TRUE	TRUE
CYSLTR1	TRUE	FALSE
CD28	TRUE	TRUE
GABARAPL1	TRUE	FALSE
DNAJB1	TRUE	TRUE
S100A4	TRUE	FALSE
GPX1	TRUE	TRUE
RGS2	TRUE	FALSE
ICA1	TRUE	FALSE
GALNT2	TRUE	FALSE
FOSB	TRUE	TRUE
CORO1B	TRUE	FALSE
PLAC8	TRUE	FALSE
FASLG	TRUE	FALSE
ZFP36	TRUE	TRUE
TNFSF8	TRUE	TRUE
SAT1	TRUE	FALSE
JUN	TRUE	TRUE
JAKMIP1	TRUE	FALSE
ANXA1	TRUE	FALSE
GCHFR	TRUE	TRUE
PDE4D	TRUE	FALSE
KIR3DL2	TRUE	FALSE
CD244	TRUE	FALSE
FAIM3	TRUE	FALSE
FXYD1	TRUE	TRUE
DDIT4	TRUE	FALSE
KLF6	TRUE	TRUE
SRGAP3	TRUE	FALSE
GPX4	TRUE	TRUE
TNFSF9	TRUE	FALSE
BATF	TRUE	TRUE
GPR183	TRUE	TRUE
IL2RA	TRUE	FALSE
EMP3	TRUE	TRUE
CH25H	TRUE	TRUE
CSF1	TRUE	FALSE
CHMP1B	TRUE	FALSE
GLIPR2	TRUE	FALSE
S100A6	TRUE	FALSE
LOC100996919	TRUE	FALSE
MIR155HG	TRUE	FALSE
ZNF683	TRUE	TRUE
LAIR2	TRUE	TRUE
KLF2	TRUE	TRUE
EIF4EBP1	FALSE	TRUE
IKZF2	FALSE	TRUE
CRTAM	FALSE	TRUE
SPAG16	FALSE	TRUE
CD70	FALSE	TRUE
GTF2I	FALSE	TRUE
CARS	FALSE	TRUE
FGFBP2	FALSE	TRUE
PTTG1IP	FALSE	TRUE
BZW2	FALSE	TRUE
JARID2	FALSE	TRUE
MAN2B1	FALSE	TRUE
SMS	FALSE	TRUE
SKAP2	FALSE	TRUE
ATOX1	FALSE	TRUE
NUDT1	FALSE	TRUE
FCGR3A	FALSE	TRUE
KLRG1	FALSE	TRUE
CFAP97	FALSE	TRUE
ACTB	FALSE	TRUE
PPIA	FALSE	TRUE
GSTO1	FALSE	TRUE
CCT5	FALSE	TRUE
CCND2	FALSE	TRUE
PAG1	FALSE	TRUE
USP11	FALSE	TRUE
SRRT	FALSE	TRUE
RTN4	FALSE	TRUE
PFN1	FALSE	TRUE
TMEM14C	FALSE	TRUE
SH2D1A	FALSE	TRUE
PPP1R15A	FALSE	TRUE
KDELR2	FALSE	TRUE
TNFRSF1B	FALSE	TRUE
COMT	FALSE	TRUE
ATP1B3	FALSE	TRUE
NELL2	FALSE	TRUE
STAT1	FALSE	TRUE
ATP6V0D1	FALSE	TRUE
TARSL2	FALSE	TRUE
TPST2	FALSE	TRUE
MT1E	FALSE	TRUE
NFKBIZ	FALSE	TRUE
APLP2	FALSE	TRUE
MATK	FALSE	TRUE
CTSB	FALSE	TRUE
CCL4L2	FALSE	TRUE
PPA1	FALSE	TRUE
LGALS1	FALSE	TRUE
SGK1	FALSE	TRUE
CTLA4	FALSE	TRUE
H2AFY	FALSE	TRUE
CPNE3	FALSE	TRUE
CX3CR1	FALSE	TRUE
PFKFB3	FALSE	TRUE
CD69	FALSE	TRUE
LYAR	FALSE	TRUE
CARD16	FALSE	TRUE
PIM1	FALSE	TRUE
RAPGEF6	FALSE	TRUE
C12orf75	FALSE	TRUE
LINC00892	FALSE	TRUE
LDHA	FALSE	TRUE
ATP5G3	FALSE	TRUE
SH2D2A	FALSE	TRUE
HSPA1B	FALSE	TRUE
SERINC5	FALSE	TRUE
HSP90B1	FALSE	TRUE
PTGDS	FALSE	TRUE
GPR25	FALSE	TRUE
LILRB1	FALSE	TRUE
NR4A2	FALSE	TRUE
AGTRAP	FALSE	TRUE
CTSC	FALSE	TRUE
UCP2	FALSE	TRUE
NAP1L1	FALSE	TRUE
KLRF1	FALSE	TRUE
CTSS	FALSE	TRUE
CCT6A	FALSE	TRUE
DBI	FALSE	TRUE
ITGB2	FALSE	TRUE
LAMP1	FALSE	TRUE
PLEK	FALSE	TRUE
FLNA	FALSE	TRUE
DNPH1	FALSE	TRUE
TAGAP	FALSE	TRUE
HSPA1A	FALSE	TRUE
SPON2	FALSE	TRUE
TMEM2	FALSE	TRUE
HSPA5	FALSE	TRUE
S100A11	FALSE	TRUE
G3BP2	FALSE	TRUE
LINC00152	FALSE	TRUE
PRDM1	FALSE	TRUE
BCAS2	FALSE	TRUE
ADRB2	FALSE	TRUE
DNAJB4	FALSE	TRUE
BAX	FALSE	TRUE
MTSS1	FALSE	TRUE
PELO	FALSE	TRUE
GATA3	FALSE	TRUE
CXCL13	FALSE	TRUE
PTGER4	FALSE	TRUE
PHLDA1	FALSE	TRUE
IGFLR1	FALSE	TRUE
H2AFZ	FALSE	TRUE
METTL12	FALSE	TRUE
TSPYL2	FALSE	TRUE
CDC25B	FALSE	TRUE
TSPO	FALSE	TRUE
P2RY8	FALSE	TRUE
CAPG	FALSE	TRUE
AREG	FALSE	TRUE
KLRK1	FALSE	TRUE
HMGN2	FALSE	TRUE
PPP1R2P9	FALSE	TRUE
UGP2	FALSE	TRUE
ICOS	FALSE	TRUE
FAM65B	FALSE	TRUE
LOC284454	FALSE	TRUE
HMGB1	FALSE	TRUE
PRSS23	FALSE	TRUE
HERPUD1	FALSE	TRUE
SH3BP5	FALSE	TRUE
SPRY1	FALSE	TRUE
S1PR5	FALSE	TRUE
NCR3	FALSE	TRUE
TUBA1A	FALSE	TRUE
CYCS	FALSE	TRUE
TARP	FALSE	TRUE
SSR4	FALSE	TRUE
TRAT1	FALSE	TRUE
RGCC	FALSE	TRUE
MIF	FALSE	TRUE
LGALS3	FALSE	TRUE
EFHD2	FALSE	TRUE
FCRL6	FALSE	TRUE
GeneID:101927981	FALSE	TRUE
FGR	FALSE	TRUE
SOCS1	FALSE	TRUE
C1orf21	FALSE	TRUE
CD82	FALSE	TRUE
UBC	FALSE	TRUE
