x	y	NES	PVAL
Cluster_Trm cytotoxic T cells	Fatty acid biosynthesis	1.87119890425617	2.7582192049077
Cluster_Trm cytotoxic T cells	Ascorbate and aldarate metabolism	1.68286009089254	2.03699758334677
Cluster_Trm cytotoxic T cells	Citrate cycle (TCA cycle)	-1.34627540755648	1.12863156972805
Cluster_Trm cytotoxic T cells	Starch and sucrose metabolism	1.05671534383314	0.405321962294637
Cluster_Trm cytotoxic T cells	Nitrogen metabolism	0.962488593402746	0.280826609575694
Cluster_gamma-delta T cells	Inositol phosphate metabolism	1.70232712922021	2.6870894672161
Cluster_gamma-delta T cells	Fatty acid biosynthesis	1.70976665696949	1.93825700697999
Cluster_gamma-delta T cells	Nitrogen metabolism	1.5623597570871	1.43805723188002
Cluster_gamma-delta T cells	Citrate cycle (TCA cycle)	-1.31669758404022	0.881314861491456
Cluster_gamma-delta T cells	Ascorbate and aldarate metabolism	1.3414961859033	0.865301426102545
Cluster_gamma-delta T cells	Starch and sucrose metabolism	1.0710900070041	0.410108538032846
Cluster_Tem/Trm cytotoxic T cells	Inositol phosphate metabolism	1.90392735242132	3.42930145628098
Cluster_Tem/Trm cytotoxic T cells	Citrate cycle (TCA cycle)	-2.2477063049637	3.29176843896728
Cluster_Tem/Trm cytotoxic T cells	Fatty acid biosynthesis	1.53489885645514	1.38072795144764
Cluster_Tem/Trm cytotoxic T cells	Ascorbate and aldarate metabolism	1.2900414620589	0.77872533438251
Cluster_Tem/Trm cytotoxic T cells	Starch and sucrose metabolism	1.27694376518097	0.766796499506522
Cluster_Tem/Trm cytotoxic T cells	Nitrogen metabolism	1.03800817388461	0.376828953811284
Cluster_Regulatory T cells.1	Inositol phosphate metabolism	2.0488365462552	4.52849774749514
Cluster_Regulatory T cells.1	Citrate cycle (TCA cycle)	-1.636614390918	1.28724066499652
Cluster_Regulatory T cells.1	Fatty acid biosynthesis	1.32829186403141	0.874809425471102
Cluster_Regulatory T cells.1	Nitrogen metabolism	1.35184924119689	0.84821499943617
Cluster_Regulatory T cells.1	Ascorbate and aldarate metabolism	1.32293890543137	0.833412281689061
Cluster_Regulatory T cells.1	Starch and sucrose metabolism	1.21121573709805	0.607312654919047
Cluster_Cycling T cells	Inositol phosphate metabolism	2.00009856841195	3.88221538967603
Cluster_Cycling T cells	Fatty acid biosynthesis	1.62733765115836	1.55938187190704
Cluster_Cycling T cells	Citrate cycle (TCA cycle)	-1.53159854062664	1.32172586442747
Cluster_Cycling T cells	Starch and sucrose metabolism	-0.975198261830893	0.296066576132431
Cluster_Cycling T cells	Ascorbate and aldarate metabolism	0.882499446927929	0.216444457620653
Cluster_Cycling T cells	Nitrogen metabolism	0.759964954481989	0.108988023284362
Cluster_Plasmablasts	Inositol phosphate metabolism	1.56925118885681	1.94138514670843
Cluster_Plasmablasts	Fatty acid biosynthesis	1.58244564576466	1.44865646117339
Cluster_Plasmablasts	Nitrogen metabolism	-1.62208709727866	1.43350506165036
Cluster_Plasmablasts	Citrate cycle (TCA cycle)	-1.36927096719046	1.0182049069268
Cluster_Plasmablasts	Ascorbate and aldarate metabolism	1.30838039602509	0.845098040014256
Cluster_Plasmablasts	Starch and sucrose metabolism	-0.98046813723835	0.293968141176495
